TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-03,2026-07-03,FO,NSE,STF,58086,,ABCAPITAL,,2026-08-25,2026-08-25,,,ABCAPITAL26AUGFUT,398.45,408.10,398.45,403.65,403.50,397.40,401.25,403.65,641700,80600,126,158059700.00,111,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67140,,ABCAPITAL,,2026-07-28,2026-07-28,315.00,CE,ABCAPITAL26JUL315CE,0.00,0.00,0.00,74.95,74.95,74.95,401.25,87.70,6200,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67157,,ABCAPITAL,,2026-07-28,2026-07-28,395.00,CE,ABCAPITAL26JUL395CE,14.25,19.30,13.70,16.95,17.10,13.15,401.25,16.95,421600,-142600,374,477582125.00,367,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67262,,ABCAPITAL,,2026-08-25,2026-08-25,450.00,PE,ABCAPITAL26AUG450PE,0.00,0.00,0.00,87.20,0.00,87.20,401.25,54.35,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67237,,ABCAPITAL,,2026-08-25,2026-08-25,370.00,PE,ABCAPITAL26AUG370PE,7.30,7.30,5.95,7.05,7.05,7.30,401.25,7.05,102300,55800,43,50218295.00,27,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67261,,ABCAPITAL,,2026-08-25,2026-08-25,450.00,CE,ABCAPITAL26AUG450CE,0.00,0.00,0.00,6.90,0.00,6.90,401.25,9.85,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78360,,ABCAPITAL,,2026-09-29,2026-09-29,340.00,CE,ABCAPITAL26SEP340CE,0.00,0.00,0.00,66.65,0.00,66.65,401.25,73.90,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67149,,ABCAPITAL,,2026-07-28,2026-07-28,355.00,PE,ABCAPITAL26JUL355PE,1.00,1.05,1.00,1.00,1.00,1.95,401.25,2.35,124000,6200,14,15450710.00,11,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78397,,ABCAPITAL,,2026-09-29,2026-09-29,370.00,CE,ABCAPITAL26SEP370CE,0.00,0.00,0.00,46.70,0.00,46.70,401.25,52.60,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67156,,ABCAPITAL,,2026-07-28,2026-07-28,385.00,PE,ABCAPITAL26JUL385PE,7.55,7.55,4.80,6.00,5.80,8.20,401.25,6.00,793600,96100,324,392485730.00,293,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65757,,ABCAPITAL,,2026-07-28,2026-07-28,400.00,PE,ABCAPITAL26JUL400PE,14.70,14.70,9.95,11.75,11.45,15.30,401.25,11.75,796700,124000,996,1270126420.00,798,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78402,,ABCAPITAL,,2026-09-29,2026-09-29,370.00,PE,ABCAPITAL26SEP370PE,0.00,0.00,0.00,19.10,0.00,19.10,401.25,15.60,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65760,,ABCAPITAL,,2026-07-28,2026-07-28,420.00,CE,ABCAPITAL26JUL420CE,5.00,7.50,4.85,6.35,6.50,4.60,401.25,6.35,1264800,313100,1177,1557068000.00,1011,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67238,,ABCAPITAL,,2026-08-25,2026-08-25,380.00,CE,ABCAPITAL26AUG380CE,0.00,0.00,0.00,24.35,0.00,24.35,401.25,38.55,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67253,,ABCAPITAL,,2026-08-25,2026-08-25,440.00,CE,ABCAPITAL26AUG440CE,0.00,0.00,0.00,8.40,0.00,8.40,401.25,12.25,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78246,,ABCAPITAL,,2026-08-25,2026-08-25,405.00,CE,ABCAPITAL26AUG405CE,0.00,0.00,0.00,21.15,0.00,21.15,401.25,24.95,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78232,,ABCAPITAL,,2026-08-25,2026-08-25,385.00,CE,ABCAPITAL26AUG385CE,0.00,0.00,0.00,30.50,0.00,30.50,401.25,35.55,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67254,,ABCAPITAL,,2026-08-25,2026-08-25,440.00,PE,ABCAPITAL26AUG440PE,0.00,0.00,0.00,78.85,0.00,78.85,401.25,46.90,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78458,,ABCAPITAL,,2026-09-29,2026-09-29,380.00,PE,ABCAPITAL26SEP380PE,0.00,0.00,0.00,23.30,0.00,23.30,401.25,19.30,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78394,,ABCAPITAL,,2026-09-29,2026-09-29,350.00,PE,ABCAPITAL26SEP350PE,0.00,0.00,0.00,12.20,0.00,12.20,401.25,9.65,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65745,,ABCAPITAL,,2026-07-28,2026-07-28,350.00,PE,ABCAPITAL26JUL350PE,1.10,1.10,0.70,0.85,0.90,1.25,401.25,0.85,827700,-192200,189,205546740.00,130,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65751,,ABCAPITAL,,2026-07-28,2026-07-28,370.00,PE,ABCAPITAL26JUL370PE,3.55,3.60,2.15,2.70,2.65,3.95,401.25,2.70,604500,-31000,352,406636610.00,299,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65753,,ABCAPITAL,,2026-07-28,2026-07-28,380.00,PE,ABCAPITAL26JUL380PE,6.00,6.00,3.80,4.65,4.55,6.55,401.25,4.65,1069500,-9300,380,452983005.00,322,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78249,,ABCAPITAL,,2026-08-25,2026-08-25,415.00,PE,ABCAPITAL26AUG415PE,0.00,0.00,0.00,36.50,0.00,36.50,401.25,30.45,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67147,,ABCAPITAL,,2026-07-28,2026-07-28,345.00,PE,ABCAPITAL26JUL345PE,0.60,0.60,0.60,0.60,0.60,0.90,401.25,1.35,86800,-3100,1,1071360.00,1,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65732,,ABCAPITAL,,2026-07-28,2026-07-28,290.00,PE,ABCAPITAL26JUL290PE,0.00,0.00,0.00,0.10,0.10,0.10,401.25,0.05,9300,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78468,,ABCAPITAL,,2026-09-29,2026-09-29,430.00,CE,ABCAPITAL26SEP430CE,0.00,0.00,0.00,20.00,0.00,20.00,401.25,23.10,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STF,68415,,ABCAPITAL,,2026-09-29,2026-09-29,,,ABCAPITAL26SEPFUT,400.00,409.80,400.00,407.00,406.80,401.15,401.25,407.00,68200,55800,26,32776765.00,22,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78469,,ABCAPITAL,,2026-09-29,2026-09-29,430.00,PE,ABCAPITAL26SEP430PE,0.00,0.00,0.00,51.45,0.00,51.45,401.25,45.20,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67164,,ABCAPITAL,,2026-07-28,2026-07-28,425.00,PE,ABCAPITAL26JUL425PE,0.00,0.00,0.00,64.50,0.00,64.50,401.25,30.75,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78471,,ABCAPITAL,,2026-09-29,2026-09-29,440.00,PE,ABCAPITAL26SEP440PE,0.00,0.00,0.00,58.35,0.00,58.35,401.25,51.70,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65737,,ABCAPITAL,,2026-07-28,2026-07-28,310.00,PE,ABCAPITAL26JUL310PE,0.00,0.00,0.00,1.00,1.00,1.00,401.25,0.10,6200,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78403,,ABCAPITAL,,2026-09-29,2026-09-29,380.00,CE,ABCAPITAL26SEP380CE,0.00,0.00,0.00,41.05,0.00,41.05,401.25,46.45,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65762,,ABCAPITAL,,2026-07-28,2026-07-28,430.00,CE,ABCAPITAL26JUL430CE,3.15,4.80,2.95,4.00,4.00,2.85,401.25,4.00,2024300,-2489300,2487,3347825160.00,1753,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67163,,ABCAPITAL,,2026-07-28,2026-07-28,425.00,CE,ABCAPITAL26JUL425CE,4.45,5.95,4.05,4.95,4.95,3.60,401.25,4.95,914500,-74400,210,280061595.00,192,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65742,,ABCAPITAL,,2026-07-28,2026-07-28,340.00,CE,ABCAPITAL26JUL340CE,0.00,0.00,0.00,51.15,51.15,51.15,401.25,63.65,62000,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78465,,ABCAPITAL,,2026-09-29,2026-09-29,410.00,PE,ABCAPITAL26SEP410PE,0.00,0.00,0.00,38.80,0.00,38.80,401.25,33.40,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65746,,ABCAPITAL,,2026-07-28,2026-07-28,360.00,CE,ABCAPITAL26JUL360CE,46.00,46.00,46.00,46.00,46.00,37.50,401.25,45.85,158100,-3100,1,1258600.00,1,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78395,,ABCAPITAL,,2026-09-29,2026-09-29,360.00,CE,ABCAPITAL26SEP360CE,0.00,0.00,0.00,52.85,0.00,52.85,401.25,59.25,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78393,,ABCAPITAL,,2026-09-29,2026-09-29,350.00,CE,ABCAPITAL26SEP350CE,0.00,0.00,0.00,59.55,0.00,59.55,401.25,66.35,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65764,,ABCAPITAL,,2026-07-28,2026-07-28,440.00,CE,ABCAPITAL26JUL440CE,1.95,2.95,1.90,2.40,2.35,1.65,401.25,2.40,1041600,68200,460,631170385.00,397,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78460,,ABCAPITAL,,2026-09-29,2026-09-29,390.00,CE,ABCAPITAL26SEP390CE,0.00,0.00,0.00,35.90,0.00,35.90,401.25,40.80,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,78491,,ABCAPITAL,,2026-09-29,2026-09-29,460.00,CE,ABCAPITAL26SEP460CE,0.00,0.00,0.00,12.30,0.00,12.30,401.25,14.40,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67153,,ABCAPITAL,,2026-07-28,2026-07-28,375.00,PE,ABCAPITAL26JUL375PE,4.60,4.60,2.85,3.60,3.55,5.05,401.25,3.60,282100,-139500,252,295673350.00,208,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65763,,ABCAPITAL,,2026-07-28,2026-07-28,430.00,PE,ABCAPITAL26JUL430PE,28.50,30.00,28.50,29.95,29.95,90.75,401.25,34.35,24800,24800,11,15661665.00,11,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65765,,ABCAPITAL,,2026-07-28,2026-07-28,440.00,PE,ABCAPITAL26JUL440PE,0.00,0.00,0.00,53.00,53.00,53.00,401.25,42.15,0,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,65738,,ABCAPITAL,,2026-07-28,2026-07-28,320.00,CE,ABCAPITAL26JUL320CE,0.00,0.00,0.00,71.80,71.80,71.80,401.25,82.80,6200,0,0,0.00,0,F1,3100,,,,,
2026-07-03,2026-07-03,FO,NSE,STO,67251,,ABCAPITAL,,2026-08-25,2026-08-25,430.00,PE,ABCAPITAL26AUG430PE,0.00,0.00,0.00,70.75,0.00,70.75,401.25,39.90,0,0,0,0.00,0,F1,3100,,,,,
