symbol,exchange,segment,instrument_type,expiry,strike,interval,scrip,strategy,active,opt_derivatives,strike_diff,itm_count,otm_count,opt_expiry,opt_interval,vwap,gap%,volume_1st,adx_param,st_atr_1,st_factor_1,st_atr_2,st_factor_2,fmt_itm,fmt_otm,wt_itm,wt_otm,high_oi_range,high_cio_range,high_cio_vol_range
NIFTY,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT,YES,YES,100,5,5,19/06/2025,1min,,,,,,,,,,,,,,,
BANKNIFTY,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT,YES,YES,,,,,,,,,,,,,,,,,,,,
AARTIIND,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT_1,YES,NO,,,,,,,,,,,,,,,,,,,,
ABB,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT2,YES,NO,,,,,,,,,,,,,,,,,,,,
ABBOTINDIA,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT2,YES,NO,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT2,YES,NO,,,,,,,,,,,,,,,,,,,,
ABFRL,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT2,YES,NO,,,,,,,,,,,,,,,,,,,,
ACC,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT2,YES,NO,,,,,,,,,,,,,,,,,,,,
ADANIENT,NFO,NFO-FUT,FUT,26/06/2025,0,1min,,AXT2,YES,NO,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,NFO,NFO-FUT,FUT,26/06/2025,,1min,,,YES,,,,,,,,,,,,,,,,,,,,,
ALKEM,NFO,NFO-FUT,FUT,26/06/2025,,1min,,,YES,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,NFO,NFO-FUT,FUT,26/06/2025,,1min,,,YES,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,NFO,NFO-FUT,FUT,26/06/2025,,1min,,,YES,,,,,,,,,,,,,,,,,,,,,
APOLLOTYRE,NFO,NFO-FUT,FUT,26/06/2025,,1min,,,YES,,,,,,,,,,,,,,,,,,,,,
